"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2503","CRM_LOGIN_TC_025 — SQL Injection vào trường Email","chromium","2026-06-04","passed","2026-06-04","Security","auth/security.spec.ts","",""
"","10468","CRM_LOGIN_TC_029 — Đăng nhập sai nhiều lần liên tiếp (Brute-force)","chromium","2026-06-04","passed","2026-06-04","Security","auth/security.spec.ts","",""
"","2490","CRM_LOGIN_TC_012 — Đăng nhập thất bại — Email sai + Password đúng","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","4346","Quick smoke test — Verify login with valid credentials leads to Dashboard","chromium","2026-06-04","passed","2026-06-04","Authentication Smoke","auth/login-smoke.spec.ts","",""
"","2163","CRM_LOGIN_TC_002 — Verify trường Password hiển thị dạng masked","chromium","2026-06-04","passed","2026-06-04","Login Form UI","auth/login-form-ui.spec.ts","",""
"","3647","CRM_LOGIN_TC_030 — Thông báo lỗi không tiết lộ email tồn tại hay không","chromium","2026-06-04","passed","2026-06-04","Security","auth/security.spec.ts","",""
"","3047","CRM_LOGIN_TC_019 — Gửi email khôi phục với email đã đăng ký","chromium","2026-06-04","passed","2026-06-04","Forgot Password","auth/forgot-password.spec.ts","",""
"","5097","Verify customer list has at least one record and save screenshot to workspace root","chromium","2026-06-04","passed","2026-06-04","Customers List Verification","customers.spec.ts","",""
"","2593","CRM_LOGIN_TC_018 — Click 'Forgot Password?' chuyển đến trang khôi phục","chromium","2026-06-04","passed","2026-06-04","Forgot Password","auth/forgot-password.spec.ts","",""
"","2478","CRM_LOGIN_TC_026 — XSS Script Injection vào trường Email","chromium","2026-06-04","passed","2026-06-04","Security","auth/security.spec.ts","",""
"","4644","CRM_LOGIN_TC_017 — Truy cập trang Login khi đã đăng nhập → redirect Dashboard","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","2443","CRM_LOGIN_TC_015 — Boundary — Nhập Email cực dài (1000+ ký tự)","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","4124","CRM_LOGIN_TC_023 — Đăng xuất từ Dashboard → quay về trang Login","chromium","2026-06-04","passed","2026-06-04","Logout","auth/logout.spec.ts","",""
"","4011","TC_DASHBOARD_001 — Dashboard page should load after successful login","chromium","2026-06-04","passed","2026-06-04","Dashboard Feature","dashboard/dashboard.spec.ts","",""
"","2525","CRM_LOGIN_TC_006 — Đăng nhập thất bại — Để trống trường Email","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","2549","CRM_LOGIN_TC_011 — Đăng nhập thất bại — Email đúng + Password sai","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","4430","CRM_LOGIN_TC_005 — Đăng nhập thành công với Email và Password hợp lệ","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","2782","CRM_LOGIN_TC_010 — Đăng nhập thất bại — Email đúng định dạng nhưng không tồn tại","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","2460","TC_LOGIN_000 — Verification","chromium","2026-06-04","passed","2026-06-04","Sample Login Spec","auth/login.spec.ts","",""
"","2774","CRM_LOGIN_TC_027 — SQL Injection vào trường Password","chromium","2026-06-04","passed","2026-06-04","Security","auth/security.spec.ts","",""
"","2277","CRM_LOGIN_TC_003 — Verify CSRF token hidden field tồn tại trong form","chromium","2026-06-04","passed","2026-06-04","Login Form UI","auth/login-form-ui.spec.ts","",""
"","2562","CRM_LOGIN_TC_021 — Nhập email chưa đăng ký trên trang Forgot Password","chromium","2026-06-04","passed","2026-06-04","Forgot Password","auth/forgot-password.spec.ts","",""
"","2456","CRM_LOGIN_TC_008 — Đăng nhập thất bại — Để trống cả Email và Password","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","2418","CRM_LOGIN_TC_001 — Verify trang Login hiển thị đầy đủ các thành phần giao diện","chromium","2026-06-04","passed","2026-06-04","Login Form UI","auth/login-form-ui.spec.ts","",""
"","2768","CRM_LOGIN_TC_016 — Boundary — Nhập Password cực dài (1000+ ký tự)","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
"","2465","CRM_LOGIN_TC_007 — Đăng nhập thất bại — Để trống trường Password","chromium","2026-06-04","passed","2026-06-04","Login Authentication","auth/login-authentication.spec.ts","",""
